Fecha,Delegacion,Clave INEGI AGEE,Codigo Penal Federal (CPF)_Delitos contra la salud_ Produccion,Codigo Penal Federal (CPF)_Delitos contra la salud_Transporte,Codigo Penal Federal (CPF)_Delitos contra la salud_Tr fico,Codigo Penal Federal (CPF)_Delitos contra la salud_Comercio,Codigo Penal Federal (CPF)_Delitos contra la salud_Suministro,Codigo Penal Federal (CPF)_Delitos contra la salud_Posesion,Codigo Penal Federal (CPF)_Delitos contra la salud_Otros,Codigo Penal Federal (CPF)_Cometidos por Servidores Publicos,Codigo Penal Federal (CPF)_Contra el Ambiente y la Gestion Ambiental,Codigo Penal Federal (CPF)_Contra la integridad corporal,Codigo Penal Federal (CPF)_Electorales,Codigo Penal Federal (CPF)_En Materia de Derechos de Autor,"Codigo Penal Federal (CPF)_Falsedad, T¡tulo D‚cimo Tercero",Codigo Penal Federal (CPF)_Patrimoniales,Codigo Penal Federal (CPF)_V¡as de Comunicacion y Correspondencia,Codigo Penal Federal (CPF)_Otros Delitos del CPF,Codigo Fiscal de la Federacion (CFF),Ley de la Propiedad Industrial (LPI),Ley de V¡as Generales de Comunicacion (LVGC),Ley Federal del Derecho de Autor (LFDA),Ley Federal de Armas de Fuego y Explosivos (LFAFE),Ley de Migracion (LM),Ley General de Salud (LGS)_Contra la salud en su modalidad de Narcomenudeo,Ley General de Salud (LGS)_Otros delitos previstos en la LGS,Ley Federal Contra la Delincuencia Organizada (LFCDO)_Contra la salud,Ley Federal Contra la Delincuencia Organizada (LFCDO)_Otros delitos previstos en la LFCDO,"Leyes de Instituciones de Cr‚dito, Inversion, Fianzas y Seguros",Otras Leyes Especiales
2012-06,VERACRUZ,30,0,1,0,4,0,1,2,9,8,4,35,3,3,99,3,49,42,2,7,1,50,5,44,16,0,23,0,12
2012-06,YUCATAN,31,0,0,0,0,0,15,0,2,3,0,2,3,1,16,0,5,0,0,2,0,3,0,0,0,0,0,1,6
2012-06,ZACATECAS,32,1,1,0,1,0,7,4,1,0,1,7,1,1,14,1,6,5,0,0,0,18,0,1,0,0,2,0,2
2012-06,EXTRANJERO,33,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-07,AGUASCALIENTES,1,0,0,0,13,0,10,2,3,0,0,1,1,3,2,5,1,17,1,0,0,12,0,6,0,0,3,1,2
2012-07,BAJA CALIFORNIA,2,1,0,0,5,0,675,8,22,2,1,8,17,27,91,2,25,105,4,1,0,106,35,84,1,1,5,5,8
2012-07,BAJA CALIFORNIA SUR,3,2,3,0,1,0,13,2,2,3,0,1,0,1,2,2,4,5,0,0,1,1,0,42,5,0,1,0,1
2012-07,CAMPECHE,4,0,0,0,0,0,1,0,2,10,0,8,2,2,14,0,8,4,2,3,0,3,0,1,1,0,0,0,0
2012-07,COAHUILA,5,3,0,0,3,0,7,6,3,0,0,8,2,5,30,1,31,20,0,1,0,40,0,19,4,0,10,3,4
2012-07,COLIMA,6,0,0,0,1,0,2,1,0,2,0,3,1,1,6,1,11,13,0,2,1,15,0,4,1,0,1,0,2
2012-07,CHIAPAS,7,1,4,0,8,0,5,15,9,14,0,29,2,14,21,2,13,30,0,3,3,27,11,14,14,0,1,1,1
2012-07,CHIHUAHUA,8,3,5,0,19,2,28,14,23,2,1,6,2,6,37,4,29,40,5,0,1,59,0,96,37,0,4,1,6
2012-07,DISTRITO FEDERAL,9,1,2,0,5,2,288,241,101,4,11,36,54,262,478,4,180,60,44,0,12,122,1,7,6,0,21,366,36
2012-07,DURANGO,10,1,1,0,10,0,8,8,5,1,2,10,0,2,11,0,15,6,0,2,0,31,1,16,1,0,2,0,4
2012-07,GUANAJUATO,11,1,0,0,5,2,116,7,4,3,3,20,0,12,41,2,24,85,9,7,2,66,0,234,226,0,6,10,12
2012-07,GUERRERO,12,1,2,0,7,0,38,0,6,1,0,22,0,4,19,2,19,3,0,0,0,64,0,0,0,0,17,0,3
2012-07,HIDALGO,13,0,0,0,1,0,1,0,4,9,2,9,9,5,33,2,21,12,2,3,6,35,0,0,0,1,2,0,2
2012-07,JALISCO,14,20,1,0,16,0,274,38,2,10,0,21,1,21,77,2,37,47,22,1,1,117,0,586,112,0,12,37,8
2012-07,MXICO,15,2,0,0,3,0,1,5,2,7,0,45,3,5,108,1,69,12,14,8,0,69,2,14,29,0,21,2,9
