Fecha,DELEGACI‡N,Clave INEGI AGEE,Delitos contra la salud_ Producci¢n,Delitos contra la salud_Transporte,Delitos contra la salud_Tr†fico,Delitos contra la salud_Comercio,Delitos contra la salud_Suministro,Delitos contra la salud_Posesi¢n,Delitos contra la salud_Otros,Delitos diversos_Instituciones de banca y crÇdito,Delitos diversos_Fiscales,Delitos diversos_Patrimoniales,Delitos diversos_Ambientales,Delitos diversos_Propiedad intelectual e industrial,Delitos diversos_Servidor p£blico,Delitos diversos_LFAFyE,Delitos diversos_Asociaci¢n delictuosa,Delitos diversos_Robo en carretera,Delitos diversos_Ley general de poblaci¢n,Delitos diversos_Ataques a las v°as generales de comunicaci¢n,Delitos diversos_Culposos por transito de veh°culos,Delitos diversos_Otras leyes especiales,Delitos diversos_LFCDO,Delitos diversos_Delitos electorales,Delitos diversos_Otros
2001-03,CAMPECHE,04,5,0,0,7,0,5,0,0,0,7,5,0,6,14,0,0,1,0,1,0,0,0,2
2001-03,COAHUILA,05,0,3,0,1,0,37,17,0,2,2,1,0,0,23,0,0,0,6,7,0,0,0,52
2001-03,COLIMA,06,0,0,0,0,1,11,8,0,3,0,2,0,0,10,0,0,0,0,1,0,0,0,5
2001-03,CHIAPAS,07,0,2,0,1,0,14,0,0,1,19,5,0,0,24,0,0,26,6,1,4,0,26,28
2001-03,CHIHUAHUA,08,2,20,3,1,0,104,3,0,6,4,1,0,1,72,0,0,11,2,0,0,0,0,20
2001-03,DISTRITO FEDERAL,09,0,1,0,0,0,28,1,31,4,441,1,31,13,123,0,0,19,3,17,3,10,3,289
2001-03,DURANGO,10,0,8,0,4,0,31,2,0,0,2,1,0,2,30,0,0,5,5,0,6,0,0,10
2001-03,GUANAJUATO,11,0,2,0,8,2,54,3,2,0,11,0,0,3,52,0,0,1,4,0,0,0,0,27
2001-03,GUERRERO,12,1,3,0,1,0,30,10,0,0,3,1,0,2,35,0,0,0,6,4,9,0,0,24
2001-03,HIDALGO,13,0,0,0,2,1,6,7,0,0,9,2,0,1,28,0,0,2,5,4,2,0,0,15
2001-03,JALISCO,14,6,0,1,6,0,193,7,0,6,35,3,3,0,122,0,4,0,3,6,0,0,1,39
2001-03,MêXICO,15,0,0,0,9,2,126,6,2,0,125,6,13,4,69,0,0,2,1,30,27,0,9,21
2001-03,MICHOACµN,16,2,0,3,5,0,59,9,0,0,1,2,0,1,51,0,1,0,5,1,1,0,0,30
2001-03,MORELOS,17,0,0,0,7,5,49,3,0,1,0,5,0,2,28,0,1,0,14,0,0,0,1,15
2001-03,NAYARIT,18,2,6,0,2,0,41,13,0,0,0,3,0,3,24,0,0,0,0,0,0,0,0,5
2001-03,NUEVO LE‡N,19,0,3,0,1,0,68,3,2,2,0,0,0,12,20,0,0,2,4,0,3,0,0,34
2001-03,OAXACA,20,6,2,2,1,1,20,8,0,4,14,2,0,1,44,0,2,15,8,0,2,0,1,33
2001-03,PUEBLA,21,0,1,0,5,4,16,0,0,1,22,23,2,1,39,0,1,0,8,16,1,0,4,55
2001-03,QUERêTARO,22,0,4,0,0,0,46,0,0,0,0,1,1,1,16,3,2,0,4,1,3,0,0,14
2001-03,QUINTANA ROO,23,0,0,4,2,0,31,23,0,1,2,3,0,1,3,0,0,1,1,0,0,0,3,17
2001-03,SAN LUIS POTOS÷,24,0,11,0,1,0,28,3,0,1,12,0,0,0,35,0,1,0,2,0,2,0,0,11
2001-03,SINALOA,25,4,10,1,8,4,103,1,0,1,6,11,0,1,44,0,0,1,0,0,0,0,1,27
2001-03,SONORA,26,2,40,12,17,0,183,23,4,32,11,7,0,8,78,1,0,40,4,4,9,0,0,77
2001-03,TABASCO,27,0,0,1,6,0,16,0,0,0,24,1,0,0,9,0,0,13,5,0,0,0,0,11
2001-03,TAMAULIPAS,28,0,2,5,7,0,41,7,0,13,3,1,0,1,79,0,0,25,1,3,2,0,0,75
2001-03,TLAXCALA,29,0,0,0,0,0,1,0,0,1,2,0,0,3,8,0,0,2,6,2,0,0,0,13
2001-03,VERACRUZ,30,0,6,0,1,2,39,1,2,0,33,10,0,8,44,0,0,10,13,3,9,0,0,22
2001-03,YUCATµN,31,0,0,0,1,1,9,2,0,0,3,4,0,0,6,0,0,1,6,4,0,0,4,17
2001-03,ZACATECAS,32,0,9,0,4,0,10,0,0,0,8,0,0,0,16,0,1,0,7,2,0,0,0,5
2001-04,AGUASCALIENTES,01,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,5,2,0,0,11
2001-04,BAJA CALIFORNIA,02,0,7,0,0,0,346,13,1,13,85,1,0,0,166,0,0,42,5,13,0,0,0,26
2001-04,BAJA CALIFORNIA SUR,03,0,0,0,0,0,17,1,0,0,8,1,0,4,1,0,0,0,4,0,0,0,0,12
2001-04,CAMPECHE,04,0,0,0,4,0,4,0,0,0,4,3,0,3,6,0,0,1,1,2,0,0,0,9
